TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
36081070300,2010,13.5,22.3,16.1,28.8,75.2,6.6,8.4,6.5,74.8,85.6,61.4,6.0,29.8,28.7,15.2,65.7,11.4,36.0,3.0,31.3,78.0,11.6,22.1,78.1,12.3,37.9,3.0,13.0
36081070700,2303,9.0,21.4,14.9,27.7,76.7,7.0,7.5,5.8,76.5,88.5,66.7,4.7,33.5,33.3,10.9,74.6,10.5,36.0,2.8,26.3,79.5,9.2,18.7,78.7,10.0,35.7,2.7,8.0
36081070900,2483,9.4,18.9,16.3,24.9,74.6,6.3,7.5,4.9,75.3,87.4,66.4,4.1,34.3,34.1,11.0,75.6,9.3,33.6,2.5,25.1,79.0,9.0,17.3,79.0,9.1,35.7,2.3,7.4
36081071100,5272,9.8,20.8,16.0,26.6,75.7,7.0,7.7,5.5,75.6,87.2,65.5,4.7,32.5,31.4,11.4,71.4,9.4,34.1,2.7,26.3,79.2,9.4,18.7,79.4,9.7,36.2,2.6,10.1
36081071303,4973,8.2,19.1,18.4,23.6,72.9,6.7,7.8,4.6,74.3,87.4,69.8,4.0,35.6,34.5,10.2,76.6,7.7,31.8,2.4,22.6,80.2,9.1,19.0,82.5,8.5,34.5,2.1,7.3
36081071304,6136,9.9,25.0,15.4,30.5,77.8,8.0,8.6,7.3,75.9,86.7,66.0,6.4,32.3,31.0,13.4,70.8,11.0,37.1,3.3,28.9,78.6,11.1,22.0,80.8,12.1,35.3,3.4,10.7
36081071305,4871,8.6,18.4,17.7,23.4,72.7,6.3,7.7,4.6,74.1,86.5,68.6,4.0,34.8,34.0,10.6,75.2,7.8,31.3,2.4,23.2,79.8,9.1,18.3,81.3,8.6,35.4,2.1,7.5
36081071306,5811,9.5,17.8,18.2,22.7,71.6,6.0,7.9,4.4,73.7,86.1,64.6,3.9,32.0,31.2,11.1,69.9,7.8,30.8,2.3,23.8,79.0,9.6,18.7,80.7,8.7,37.1,2.1,10.3
36081071701,5161,10.2,22.3,15.9,28.1,76.6,7.4,8.2,6.1,75.8,87.0,66.2,5.3,32.2,31.9,12.1,71.3,10.3,35.5,2.9,27.2,78.4,10.1,20.0,80.0,10.6,35.7,2.9,10.2
36081071702,3921,10.0,20.7,14.4,27.9,76.7,6.5,7.8,5.6,76.2,87.3,64.5,4.6,30.8,30.9,11.3,70.4,11.1,35.1,2.9,27.5,79.2,9.7,19.7,79.6,10.2,37.4,2.7,9.2
36081071900,2630,13.3,21.6,16.3,28.1,74.9,6.2,9.1,6.5,73.4,82.6,60.8,6.5,30.2,29.8,16.3,65.0,11.3,35.0,3.1,31.7,76.9,13.1,22.4,78.3,12.8,37.9,3.2,13.8
36081072100,4963,11.1,22.4,16.0,28.5,75.9,6.9,8.4,6.5,74.6,85.3,62.5,5.9,30.1,29.0,14.1,67.2,10.9,35.5,3.1,29.6,78.9,11.5,21.8,79.8,11.8,37.3,3.1,12.3
36081072300,2127,6.8,21.8,15.3,27.4,78.1,8.1,7.3,5.6,77.9,89.9,71.5,4.2,36.9,36.8,8.4,79.7,9.3,36.3,2.7,22.2,79.6,7.7,16.7,80.4,8.5,32.5,2.4,6.1
36081072900,1363,9.1,20.5,16.0,26.7,75.9,7.0,7.6,5.5,76.3,88.3,67.3,4.4,35.2,34.7,10.6,76.2,9.8,34.6,2.7,25.3,80.2,9.1,18.5,80.0,9.4,35.3,2.5,7.3
36081073100,1515,8.7,20.0,16.8,25.7,75.1,7.0,7.6,5.2,75.8,88.1,69.6,4.3,35.3,35.6,10.9,77.1,9.0,33.9,2.5,24.5,78.9,9.0,17.7,80.3,9.1,35.2,2.4,6.9
36081073700,2042,7.8,18.0,18.5,22.6,72.2,6.5,7.7,4.3,74.2,87.6,70.3,3.6,36.9,36.3,9.6,78.0,7.2,31.2,2.2,21.4,79.7,8.6,18.1,82.8,7.9,34.0,2.0,6.4
36081073900,5028,7.9,21.6,16.4,26.2,76.2,8.1,7.7,5.5,76.2,88.6,70.8,4.4,36.2,34.1,9.5,77.6,8.4,33.8,2.7,23.4,79.8,8.5,18.2,82.4,8.9,33.4,2.5,7.1
36081074100,3015,8.5,20.9,16.4,25.6,75.2,7.2,8.0,5.1,75.5,87.9,68.9,4.5,34.8,33.9,10.7,76.2,8.7,33.7,2.6,24.4,80.0,9.3,19.0,81.6,9.4,34.5,2.4,7.8
36081074300,4221,11.5,21.3,16.3,27.3,75.0,6.7,8.3,6.1,74.6,85.3,64.2,5.5,31.0,30.0,13.7,68.7,10.3,34.4,2.9,28.7,78.4,11.0,20.4,79.1,11.1,37.0,2.9,11.4
36081074500,3571,12.0,24.5,15.5,31.4,78.3,7.6,8.8,7.3,76.3,85.7,64.7,6.4,30.0,29.3,13.9,67.3,12.2,36.9,3.4,30.8,78.8,11.5,23.1,80.7,12.4,36.4,3.5,12.5
36081074700,3386,11.6,18.3,15.3,25.6,74.0,5.5,7.7,4.9,75.1,86.1,62.9,4.3,29.8,31.2,12.5,69.9,10.6,33.6,2.6,28.1,78.8,9.9,18.5,76.8,10.0,38.8,2.4,9.3
36081074900,1453,5.7,21.1,17.2,26.1,76.8,7.9,7.4,5.1,77.4,90.5,72.6,3.8,38.0,38.8,7.8,82.6,8.3,35.6,2.4,20.1,80.8,7.5,17.3,82.8,7.9,31.2,2.2,4.7
36081075701,4678,7.1,18.2,17.0,23.4,73.8,6.5,7.3,4.3,75.3,88.4,70.7,3.4,36.6,35.7,8.6,79.3,7.8,31.8,2.3,21.4,81.1,8.1,17.6,82.5,7.7,34.0,2.0,5.2
36081075702,4481,8.2,23.5,14.3,28.9,78.5,8.5,7.6,6.4,77.3,88.9,67.8,5.0,33.9,31.5,9.9,74.3,9.7,35.9,3.1,25.3,79.4,8.7,18.2,80.7,9.8,34.1,3.0,9.2
36081076901,4056,7.3,17.4,19.2,21.9,71.0,6.2,7.7,3.9,73.9,88.0,71.3,3.4,37.3,36.0,9.5,80.2,7.0,30.4,2.2,21.0,81.1,8.6,18.7,84.0,7.7,33.8,1.9,5.3
36081076902,1371,9.2,16.5,18.3,21.9,70.5,5.5,7.7,4.1,73.2,85.8,67.2,3.6,33.6,32.6,10.9,74.5,7.6,29.9,2.2,23.4,80.1,9.4,18.5,81.4,8.2,36.1,1.9,7.6
36081077300,2234,9.8,18.5,18.5,23.9,71.9,6.1,8.0,4.7,73.7,86.4,68.7,4.2,35.0,34.7,11.6,75.7,8.2,31.6,2.4,24.4,80.2,9.8,20.2,82.3,9.1,35.0,2.2,7.4
36081077500,2273,9.3,20.8,18.3,25.8,74.2,7.2,8.1,5.3,75.1,87.3,67.9,4.5,34.5,33.0,10.9,74.4,8.7,33.1,2.6,24.3,80.1,9.6,20.4,82.7,9.4,35.1,2.4,8.7
36081077902,5263,8.2,19.1,20.5,23.5,72.8,6.4,8.6,5.0,73.0,84.1,68.2,4.6,34.8,33.6,11.8,74.8,7.5,31.3,2.4,23.0,79.4,10.6,19.4,81.7,9.1,33.9,2.3,9.0
36081077903,2972,12.2,18.3,18.6,24.3,71.1,5.4,8.3,4.6,73.3,85.1,65.0,4.5,31.0,31.3,13.5,70.3,9.2,31.7,2.5,27.4,80.1,11.0,21.9,81.7,10.1,37.5,2.3,9.4
36081077904,6155,11.7,17.7,19.2,23.6,71.4,5.4,8.4,4.7,72.7,83.2,61.8,4.5,30.0,29.7,14.1,67.6,8.9,31.2,2.4,27.2,78.4,11.3,19.6,78.2,9.9,38.2,2.3,11.4
36081077905,2455,9.3,19.3,16.3,26.5,75.8,6.3,8.0,4.8,76.6,87.9,68.5,4.0,32.1,33.2,10.2,74.6,9.7,33.0,2.6,24.4,80.8,8.9,19.4,80.7,8.8,36.5,2.4,7.6
36081077906,3633,11.4,18.7,18.0,24.6,73.0,5.7,8.4,4.9,73.6,83.9,63.6,4.7,30.3,30.8,13.7,69.7,9.2,32.0,2.5,27.5,79.0,11.1,19.5,78.5,10.1,37.3,2.4,10.3
36081077907,3193,12.2,18.2,21.3,23.9,69.5,5.1,9.5,5.1,70.4,78.4,62.8,5.6,30.2,28.8,16.7,67.1,8.6,29.9,2.7,28.8,79.4,14.1,23.7,81.9,11.3,36.7,2.6,12.5
36081077908,3755,15.2,16.7,18.6,24.4,67.4,4.1,9.6,4.5,71.5,79.2,58.7,5.1,28.0,27.8,18.4,61.7,9.5,28.9,2.6,32.0,79.6,14.4,25.1,80.0,11.8,41.9,2.5,14.1
36081078800,1818,15.0,21.4,15.8,34.5,75.1,5.0,11.4,5.3,79.6,84.9,62.4,5.7,23.0,25.7,17.8,60.2,13.2,30.7,3.2,33.8,82.3,13.7,31.0,82.5,12.6,46.4,3.7,17.1
36081079000,2549,17.2,20.4,16.0,33.2,72.7,4.5,11.7,5.1,78.2,83.5,59.2,5.9,21.4,24.5,19.8,56.4,12.6,29.7,3.2,35.4,82.0,14.7,31.7,82.4,13.2,47.1,3.7,20.5
36081079200,2280,15.0,22.3,15.5,34.9,76.1,5.5,11.3,5.6,79.9,86.2,62.2,5.7,23.3,25.5,16.7,60.1,13.2,31.4,3.3,32.9,82.1,12.9,30.2,83.2,12.5,45.7,3.8,17.9
36081079701,7055,14.8,19.9,9.4,31.0,79.2,5.4,7.1,7.0,76.5,84.2,55.2,5.3,25.0,26.0,14.5,59.0,15.6,37.7,3.5,36.7,76.5,10.6,16.3,70.1,12.7,42.7,3.7,13.9
36081079702,4502,19.0,18.1,10.6,28.9,75.3,4.2,7.5,6.3,74.0,81.0,46.3,5.4,21.5,22.2,18.1,49.7,15.4,36.1,3.3,40.4,75.4,12.6,18.0,68.1,14.0,45.9,3.4,18.7
36081079900,3425,19.4,17.7,11.8,27.2,73.6,4.5,7.6,5.9,73.3,80.7,49.6,5.5,24.3,25.2,18.1,53.3,13.4,34.9,3.0,38.8,74.8,12.5,17.9,69.0,13.3,44.2,3.1,18.0
36081080301,4382,19.3,17.3,12.2,26.5,72.9,4.2,7.8,5.7,72.9,79.8,48.1,5.4,23.5,24.2,18.5,51.3,13.0,34.2,2.9,38.8,74.7,12.9,17.9,67.4,13.3,45.1,3.0,19.7
36081080302,3504,15.3,19.8,13.7,27.5,75.3,5.6,8.0,5.9,74.9,83.7,59.1,5.5,28.4,29.3,15.4,64.9,12.1,35.4,2.9,33.5,76.6,11.3,17.8,72.4,12.1,40.1,2.9,12.2
36081080900,6850,11.4,19.6,18.0,25.3,73.3,6.0,8.7,5.2,74.0,83.6,65.2,5.0,31.7,31.3,13.7,71.0,9.4,32.1,2.6,27.9,78.9,11.6,20.3,78.8,10.5,37.3,2.6,10.3
36081081400,3543,17.9,21.0,15.6,32.3,73.2,4.8,11.6,5.5,77.1,83.2,60.0,6.2,22.2,24.8,19.4,57.4,13.0,30.9,3.3,35.1,80.7,14.8,29.9,81.1,13.7,46.1,3.7,18.9
36081081800,3478,19.3,21.2,15.0,32.2,73.3,4.8,11.0,6.1,75.9,82.0,54.8,6.7,20.5,22.2,20.5,50.3,13.8,32.5,3.4,37.5,79.7,15.3,29.2,78.7,14.7,46.9,3.8,22.3
36081083700,5388,17.6,19.0,10.6,29.0,76.6,4.9,7.4,6.5,74.8,82.0,50.2,5.6,24.5,25.1,17.1,53.6,14.5,36.7,3.2,38.5,74.2,11.7,16.1,67.0,13.3,44.4,3.4,17.5
36081083800,4970,16.9,19.3,16.7,26.7,70.9,5.1,9.7,5.3,74.1,83.3,57.9,5.5,26.6,27.8,16.9,62.6,11.0,31.9,2.8,32.2,77.7,13.3,23.7,77.8,12.5,42.3,2.8,13.6
36081084000,6478,18.0,19.8,16.0,28.2,71.3,4.9,10.1,5.6,74.4,82.7,55.3,6.0,23.8,24.9,18.6,56.2,12.0,32.3,3.0,34.2,77.2,14.1,25.1,77.1,13.5,44.5,3.1,16.8
