tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037234000,3907,213,345,0,428,33,502,709,6,93,6,42
06037234200,1686,126,176,1,260,40,332,345,3,46,2,22
06037234300,3244,138,243,5,432,134,1124,448,11,115,4,53
06037234501,2188,137,173,0,136,27,236,326,13,41,0,18
06037234502,2190,115,213,4,257,31,413,348,7,44,0,14
06037234600,3547,217,310,2,453,86,433,565,30,104,8,44
06037234700,2462,153,214,1,520,53,381,428,9,39,3,22
06037234800,2623,154,211,1,247,61,380,359,5,44,0,14
06037234901,1776,58,104,0,124,15,400,162,3,14,2,8
06037234902,1912,64,121,1,222,25,388,236,11,15,0,19
06037235100,3197,194,328,0,102,11,251,723,3,54,2,29
06037235201,1805,110,116,0,165,16,226,365,5,20,1,36
06037235202,2733,175,167,0,509,48,573,416,31,65,1,27
06037236000,1921,212,229,0,325,31,173,555,8,37,11,24
06037236100,2537,113,222,2,255,55,811,319,45,80,6,26
06037236202,1870,47,136,1,116,15,631,172,0,22,3,0
06037236203,613,31,30,0,99,31,172,71,3,17,0,5
06037236204,1332,26,91,0,31,2,439,127,1,7,7,6
06037236400,2039,103,223,1,73,13,198,488,2,67,6,33
06037237101,1870,105,134,0,1692,64,458,240,27,41,1,22
06037237102,1528,91,130,0,774,75,509,211,25,30,0,25
06037237201,2009,131,125,0,1059,16,503,238,20,37,0,21
06037237202,3047,205,151,0,1609,217,964,315,31,66,8,54
06037237300,3443,188,292,3,482,55,466,618,27,86,0,28
06037237401,2053,108,172,1,868,138,563,281,0,32,0,18
06037237402,1931,128,158,1,407,8,333,300,3,44,0,6
06037237500,1214,67,79,0,787,36,385,119,4,56,0,7
06037237600,1915,99,133,1,609,51,566,229,6,29,1,17
06037237710,1674,137,92,1,649,223,979,198,3,41,0,16
06037237720,1548,75,84,0,354,82,488,162,11,11,0,20
06037237800,2401,165,185,1,476,63,456,377,14,40,1,42
06037237900,2439,175,210,2,336,68,467,433,14,34,0,32
06037238000,4125,282,422,2,981,102,891,834,10,83,2,48
06037238100,3227,187,290,1,313,56,507,571,16,66,1,26
06037238200,4061,237,388,1,602,41,886,688,25,72,3,31
06037238310,1785,96,113,0,1236,36,732,206,24,28,2,14
06037238320,1644,69,104,1,2006,64,990,189,28,34,1,20
06037238400,3222,249,388,2,769,116,604,691,17,72,4,42
06037239201,1379,108,96,0,1182,297,511,184,59,29,0,91
06037239202,1899,153,118,0,1736,361,697,233,77,69,2,134
06037239310,1821,123,118,0,1621,170,870,221,60,36,0,40
06037239320,1567,50,118,0,688,39,282,219,10,22,3,18
06037239330,1081,88,85,1,1379,203,332,155,82,27,0,63
06037239501,1515,90,117,1,1382,150,547,181,49,47,2,63
06037239502,1404,98,128,0,736,29,386,193,11,35,1,26
06037239601,1528,75,102,1,1541,105,776,172,41,20,0,19
06037239602,1600,78,103,0,1151,19,435,223,11,20,0,15
06037239701,1752,97,131,0,1134,41,673,191,17,13,0,35
06037239702,1740,152,128,0,975,100,628,231,50,23,0,53
06037239801,1400,111,109,2,908,30,588,220,32,43,1,16
06037239802,2114,172,171,0,1599,143,680,274,38,44,2,32
06037240010,1595,118,160,1,1804,142,653,169,44,59,3,48
06037240020,2970,166,204,1,1314,93,981,368,8,63,0,45
06037240200,3379,187,277,1,1224,74,1347,454,33,62,1,34
