tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037195100,2130,145,125,4,730,41,99,510,157,98,26,155
06037195201,1558,54,108,0,231,7,87,298,50,48,19,40
06037195202,1731,104,104,1,332,11,102,329,44,74,3,137
06037195300,1722,90,99,3,678,353,155,272,6,71,8,15
06037195400,2372,110,172,4,1035,50,214,509,23,80,5,12
06037195500,3217,103,209,2,1988,416,275,624,13,113,8,42
06037195600,1918,76,137,0,2677,259,263,283,7,50,3,21
06037195710,1845,62,103,0,1737,312,370,318,21,75,3,33
06037195720,1287,45,78,1,2069,120,189,168,5,25,1,13
06037195802,1514,78,121,3,1309,439,452,186,15,49,1,55
06037195803,1656,69,81,0,1186,104,171,230,9,65,11,55
06037195804,1444,84,117,0,872,133,208,203,10,21,0,23
06037195901,1265,63,66,0,423,19,125,178,3,42,6,19
06037195902,911,31,51,0,486,4,53,139,7,37,2,10
06037195903,1266,35,90,1,251,33,119,179,5,27,0,9
06037197200,2173,52,204,1,749,31,168,316,11,49,2,66
06037197300,2297,62,123,1,954,25,201,402,7,68,6,16
06037197410,2389,101,131,1,1150,86,262,471,15,81,2,3
06037197420,2173,76,148,0,1750,384,219,307,13,103,3,28
06037197500,2147,53,142,1,1994,188,198,295,9,77,8,40
06037197600,1466,42,65,0,1200,65,265,201,9,62,2,22
06037197700,2493,56,177,1,1305,38,389,295,12,55,3,29
06037199000,1843,97,112,2,2990,329,535,211,50,155,11,114
06037199110,1403,51,123,6,521,20,211,218,16,34,2,12
06037199120,1412,80,117,0,1080,47,343,156,9,39,4,31
06037199201,1514,56,139,3,804,25,211,147,3,44,0,22
06037199202,1457,60,97,0,675,6,129,216,5,51,4,32
06037199300,2185,97,149,7,1327,81,171,342,31,122,7,87
06037199400,2204,84,169,1,786,91,399,302,8,26,1,21
06037199700,1408,51,118,2,1332,125,405,213,19,65,1,37
06037199800,2301,78,167,9,790,162,274,197,9,79,1,29
06037199900,1151,50,93,1,982,133,290,140,6,57,2,14
06037201110,1369,69,121,0,188,43,132,173,7,36,0,33
06037201120,2201,78,171,0,229,199,275,291,64,79,4,46
06037201200,1343,38,116,0,443,133,225,155,5,44,3,19
06037201301,1917,104,182,0,578,40,245,248,29,85,0,51
06037201302,1521,25,131,0,288,6,142,261,9,21,1,44
06037201401,2067,76,169,1,1259,127,313,295,20,120,1,28
06037201402,2151,112,254,0,489,47,229,264,24,61,3,51
06037201501,2728,146,228,0,939,87,303,327,8,74,4,63
06037201503,1620,57,141,0,472,44,168,169,13,34,3,31
06037201504,1156,41,82,0,430,7,300,108,7,37,0,19
06037201601,976,59,78,1,204,34,150,123,9,31,1,17
06037201602,1478,83,128,0,690,101,322,188,82,46,1,90
06037201700,1798,122,135,2,1035,57,207,254,23,99,0,64
06037203100,1078,73,81,0,1207,22,185,101,11,35,3,21
06037203200,2189,71,209,0,1301,36,279,264,4,34,0,8
06037203300,592,87,57,0,874,99,125,76,12,54,0,32
06037203500,1463,59,110,2,2102,58,267,205,33,36,0,42
06037203600,2181,87,162,0,1231,14,313,252,13,39,1,26
06037203710,1334,41,104,1,1309,23,314,137,4,19,1,15
06037203720,1644,94,133,0,1384,28,341,188,23,19,0,24
06037203800,2200,102,217,1,1235,92,368,256,6,30,2,3
06037203900,1237,60,90,1,2157,93,211,173,42,51,1,35
06037204110,1323,84,115,4,2619,5,165,174,50,41,0,59
06037204120,1173,79,108,1,1833,25,136,122,12,30,2,16
06037204200,1587,79,112,0,2712,36,368,158,5,26,2,18
06037204300,2054,116,178,0,5363,47,240,259,23,66,6,16
06037204410,945,34,82,0,1157,89,190,115,2,31,0,10
06037204420,1165,58,105,0,1962,40,192,115,5,36,1,16
06037204600,1694,129,128,2,1817,88,385,207,37,44,9,20
06037204700,2112,128,179,2,1781,54,330,269,55,67,5,43
06037204810,1970,117,152,0,2001,47,332,244,50,51,4,55
06037204820,826,47,76,0,888,18,82,123,3,15,0,6
06037204910,1479,85,103,0,899,26,302,186,19,28,1,18
06037204920,1495,107,149,1,1449,64,629,185,26,50,0,40
06037205110,22,10,1,0,223,7,8,2,4,7,2,8
06037205120,723,96,38,1,3054,412,738,65,34,73,0,40
06037206010,873,45,73,1,3007,101,152,148,60,72,5,111
06037206020,52,9,0,0,784,179,59,4,25,28,4,28
06037206031,965,89,20,5,6505,970,1024,80,94,209,10,109
06037206032,1439,75,87,3,2426,161,451,187,31,66,5,26
06037206050,417,64,17,3,1882,164,276,39,46,43,4,50
06037206200,454,32,32,5,2276,237,305,65,25,90,5,142
06037206300,176,40,6,1,1037,1006,315,22,44,110,3,156
06037207101,677,24,64,0,1156,136,203,82,5,26,3,51
06037207102,616,29,69,0,1840,169,135,91,39,50,5,270
06037207103,542,22,57,2,1460,80,107,104,28,41,0,135
06037207301,550,17,17,3,1677,335,118,71,58,120,4,162
06037207302,356,26,6,2,1187,274,114,20,58,84,6,88
06037207400,110,62,5,16,950,300,121,12,82,150,8,129
06037207501,189,8,5,0,300,21,47,10,25,28,3,30
06037207502,115,11,6,0,523,59,50,2,278,61,4,179
06037207710,392,38,8,7,1403,550,133,49,490,209,2,385
06037207900,752,42,17,3,1242,193,269,77,81,162,4,212
06037208000,2328,58,132,13,5540,131,545,268,24,100,6,75
06037208301,617,14,31,1,710,3,126,71,0,13,0,2
06037208302,1694,47,128,4,2457,63,345,207,20,66,1,31
06037208401,1000,13,62,0,1007,90,339,132,3,24,1,8
06037208402,1341,37,92,1,1537,140,381,174,15,57,0,31
06037208501,983,37,63,8,811,135,188,110,11,29,0,15
06037208502,1616,32,103,1,2083,116,255,188,9,36,1,22
06037208610,1877,52,114,0,1050,168,430,225,2,41,2,27
06037208620,1597,50,107,6,962,125,374,191,11,31,7,16
06037208710,957,11,46,4,263,253,349,120,1,41,2,14
06037208720,978,17,44,3,886,226,328,141,5,26,1,12
06037208801,764,18,44,29,694,202,258,135,8,27,4,19
06037208802,999,12,48,0,1002,191,232,158,11,30,3,16
06037208902,436,10,15,0,1492,100,253,75,13,16,0,17
06037208903,730,14,65,12,1545,81,693,126,12,43,1,31
06037208904,576,8,40,0,1001,1,358,111,1,12,0,8
06037209102,1237,31,96,0,1740,34,372,211,5,21,2,22
06037209103,885,11,74,2,968,5,318,125,3,17,0,3
06037209104,669,13,48,1,245,6,126,92,3,12,2,4
06037209200,469,26,30,4,653,134,166,61,3,40,11,18
06037209300,898,16,61,2,1094,198,435,117,6,39,0,19
06037209401,1047,13,39,0,1138,307,413,123,28,23,3,28
06037209402,627,10,28,2,1890,146,371,116,14,32,2,13
06037209403,409,7,19,0,2771,209,273,60,11,22,1,3
06037209510,690,29,33,1,1012,432,221,69,14,17,1,26
06037209520,615,14,26,6,1260,124,364,85,13,19,3,21
06037209810,565,15,37,1,428,86,323,64,5,15,0,6
06037209820,874,25,42,0,991,12,530,93,7,17,0,10
06037210010,1218,24,57,0,1348,449,463,124,31,40,1,38
06037211000,1404,145,84,2,395,146,111,320,293,115,17,328
06037211120,1600,26,84,46,1408,1654,282,237,58,117,5,121
06037211121,750,23,29,3,487,86,172,70,8,23,2,14
06037211122,897,29,62,138,1525,987,613,105,22,145,5,25
06037211201,1290,15,71,12,501,9,257,137,7,41,1,17
06037211202,1223,14,64,62,1126,274,518,124,8,157,3,9
06037211310,1594,15,79,48,571,24,352,119,2,57,8,13
06037211320,1500,39,88,272,1529,596,580,162,4,257,3,4
06037211410,1380,23,68,10,695,95,141,136,3,15,0,7
06037211420,1863,47,116,30,1112,88,278,221,1,41,4,15
06037211500,1783,102,101,4,915,166,175,264,106,81,6,165
06037211701,874,43,63,2,173,77,68,162,25,33,10,53
06037211703,1644,12,89,1,547,64,192,192,1,29,0,7
06037211704,1112,17,46,1,747,211,93,121,8,54,3,20
06037211802,1517,27,56,12,1207,748,133,172,16,58,4,41
