FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
36081136700,7.9,7.1,33787.0,13.4,19.4,18.6,10.0,5.2,68.6,18.1,10.2,0.0,4.7,13.0,0.3,0.2872,0.5312,0.2769,0.6032,0.7829999999999999,0.2359,0.3138,0.2655,0.7977,0.9409,0.6563,0.0,0.7744,0.7871,0.5394,6.4
36081137700,13.0,4.0,31303.0,9.8,15.1,19.7,5.5,8.3,71.1,18.7,6.5,0.0,4.6,8.9,0.4,0.5015,0.195,0.337,0.4563,0.5401,0.2979,0.0503,0.5121,0.8105,0.9445,0.5665,0.0,0.7705,0.6731,0.5715,13.4
36081138501,8.2,4.9,26411.0,12.2,17.3,24.7,8.3,4.4,70.6,19.1,0.5,0.0,4.1,5.2,0.0,0.3014,0.2938,0.4944,0.5587,0.6757,0.6497,0.1924,0.2003,0.8078,0.9470000000000001,0.2488,0.0,0.7377,0.4786,0.0,5.4
36081138502,48.5,0.0,15446.0,0.0,67.6,10.8,43.2,0.0,56.8,0.0,0.0,,0.0,,100.0,0.9763,0.0,0.8876,0.0,0.9975,0.049,0.9990000000000001,0.0,0.7338,0.0,0.0,,0.0,,0.9976,0.0
36081139900,1.2,2.3,37880.0,7.3,14.1,20.2,6.9,6.9,61.1,7.5,0.7,0.0,5.7,7.4,0.6,0.0103,0.0557,0.2001,0.3317,0.47600000000000003,0.3304,0.11,0.4036,0.7581,0.8253,0.2793,0.0,0.8188,0.6096,0.6331,9.5
36081140300,9.0,3.7,35129.0,14.2,23.6,18.2,8.4,6.2,68.8,17.2,0.0,0.0,1.1,6.3,0.0,0.33799999999999997,0.1649,0.2486,0.6307,0.9074,0.2137,0.1992,0.3451,0.7992,0.9353,0.0,0.0,0.3775,0.5505,0.0,8.4
36081140901,7.3,3.8,34567.0,9.1,20.9,19.1,6.5,0.9,66.2,12.4,3.5,0.0,0.3,3.5,1.1,0.2604,0.1746,0.26,0.4241,0.8413,0.2639,0.0902,0.0268,0.7854,0.8964,0.4615,0.0,0.1952,0.3359,0.703,2.9
36081140902,3.3,2.3,37264.0,16.5,15.1,19.3,7.3,3.1,73.4,21.7,0.0,0.0,1.6,3.7,0.4,0.075,0.0557,0.2102,0.6976,0.5401,0.2743,0.1315,0.1123,0.8219,0.9595,0.0,0.0,0.4581,0.3545,0.5701,10.2
36081141700,4.0,11.3,30552.0,12.1,20.5,21.5,9.0,5.9,73.1,11.5,4.1,0.0,1.2,7.7,0.0,0.1047,0.8074,0.3571,0.5547,0.8277,0.4253,0.2407,0.3235,0.8203,0.8861,0.4892,0.0,0.3817,0.6239,0.0,5.9
36081142900,4.1,4.8,33221.0,10.1,19.1,15.9,6.0,5.6,52.5,15.4,0.6,1.7,1.8,9.9,0.0,0.109,0.2823,0.2894,0.4703,0.7694,0.1305,0.0685,0.2931,0.7070000000000001,0.9233,0.2722,0.5867,0.4863,0.7084,0.0,12.3
36081143500,6.0,2.9,33698.0,16.9,18.7,14.4,6.9,4.9,63.0,14.2,0.0,0.0,4.2,9.4,0.0,0.1987,0.0962,0.27899999999999997,0.7085,0.7508,0.096,0.11,0.2442,0.7687,0.9134,0.0,0.0,0.7473,0.6917,0.0,9.4
36081144100,9.4,2.0,39386.0,8.0,14.5,19.0,8.3,3.8,67.2,10.4,28.4,0.0,1.9,15.7,0.0,0.3555,0.0407,0.17800000000000002,0.3683,0.5022,0.2563,0.1924,0.1589,0.7912,0.8732,0.8659,0.0,0.5134,0.8328,0.0,10.1
36081144700,12.1,9.2,26734.0,14.8,14.5,19.9,10.0,5.9,86.4,24.1,1.3,0.0,4.3,9.5,0.5,0.4677,0.6976,0.4827,0.6494,0.5022,0.3115,0.3138,0.3231,0.8884,0.9695,0.336,0.0,0.7531,0.6953,0.6098,13.2
36081145101,8.3,1.0,35458.0,14.1,16.1,24.0,5.1,1.2,51.2,20.3,0.0,0.0,3.5,6.7,0.6,0.3058,0.0114,0.2424,0.6272,0.6032,0.6038,0.0378,0.034,0.6988,0.9529,0.0,0.0,0.6911,0.5735,0.6346,12.3
36081145102,6.2,5.0,30365.0,17.6,15.8,17.1,8.1,8.2,76.7,22.3,0.0,0.5,3.8,11.9,0.0,0.2085,0.3048,0.3624,0.7261,0.5835,0.1703,0.179,0.5014,0.8378,0.9620000000000001,0.0,0.4503,0.7145,0.7637,0.0,11.3
36081145900,7.0,6.4,31134.0,20.9,13.9,16.0,8.3,2.4,59.6,18.6,0.0,0.0,1.8,7.0,0.0,0.2458,0.4598,0.3414,0.7958,0.4632,0.1339,0.1924,0.0792,0.7495,0.9441,0.0,0.0,0.4863,0.589,0.0,11.0
36081146300,5.9,8.3,32388.0,17.6,26.0,14.8,8.0,5.9,51.2,18.4,20.2,2.2,1.8,8.4,12.7,0.1942,0.6337,0.3094,0.7261,0.9405,0.1036,0.1729,0.3218,0.6988,0.9427,0.8009,0.6146,0.4879,0.6541,0.9564,8.7
36081146700,10.5,5.5,37501.0,7.4,8.1,15.9,5.4,4.5,57.5,10.2,45.8,0.7,5.8,10.0,0.3,0.4034,0.3607,0.2062,0.337,0.1415,0.1294,0.0468,0.2148,0.7382,0.8704,0.9349,0.4931,0.8236,0.7114,0.5236,8.5
36081147100,8.9,7.6,39477.0,11.9,18.7,16.3,8.2,3.1,63.2,18.8,28.9,0.0,4.4,16.4,0.0,0.3335,0.5764,0.1767,0.547,0.7508,0.1422,0.1857,0.1161,0.7701,0.945,0.8684,0.0,0.7574,0.8425,0.0,13.7
36081147900,11.6,6.9,33273.0,6.1,17.6,21.7,9.8,4.0,57.0,12.1,23.1,0.0,6.0,11.4,0.0,0.4483,0.5115,0.2885,0.2656,0.6929,0.4384,0.2992,0.1743,0.7355,0.8931,0.8274,0.0,0.8295,0.7505,0.0,10.8
36081148300,2.9,3.8,58301.0,2.1,20.1,21.8,7.6,3.1,37.0,3.3,3.0,0.7,1.8,2.2,0.0,0.0594,0.1746,0.0479,0.057999999999999996,0.8122,0.4427,0.1489,0.1116,0.5889,0.6783,0.4408,0.4931,0.4965,0.2041,0.0,2.9
36081150701,3.8,2.0,43777.0,5.3,26.4,21.6,10.0,1.7,40.8,4.0,5.6,1.1,1.9,5.9,0.3,0.0958,0.0407,0.1287,0.2215,0.9444,0.4332,0.3138,0.0479,0.6229,0.7182,0.5391,0.5387,0.5139,0.5267,0.5388,0.1
36081150702,8.1,2.4,36754.0,14.6,24.2,18.0,14.8,4.9,46.2,13.2,26.0,0.0,5.4,10.1,4.3,0.2964,0.0611,0.2183,0.6434,0.9167,0.2086,0.6525,0.2422,0.6651,0.9035,0.8504,0.0,0.8079,0.7146,0.888,8.7
36081152901,10.2,7.4,38717.0,7.1,17.6,16.4,8.7,2.8,62.9,14.3,8.3,0.0,0.9,11.3,0.9,0.3901,0.5591,0.1874,0.3211,0.6929,0.1456,0.2194,0.0973,0.7685,0.9142,0.6169,0.0,0.321,0.7481,0.6737,9.4
36081152902,4.7,6.0,36623.0,10.4,19.7,18.0,9.4,2.6,60.4,14.1,7.4,0.6,3.1,14.5,0.4,0.1371,0.4159,0.2204,0.4839,0.7964,0.2072,0.2698,0.0861,0.7546,0.9129,0.5915,0.4729,0.6611,0.8145,0.5787,5.0
36081155101,2.1,0.0,69855.0,1.1,87.2,0.0,38.9,0.0,3.3,4.5,96.5,1.6,1.5,21.7,0.0,0.0311,0.0,0.0246,0.0217,0.9997,0.0,0.9984,0.0,0.0517,0.7382,0.9971,0.5801,0.4421,0.8935,0.0,0.0
36081155102,7.7,7.5,41839.0,7.5,18.4,16.1,9.9,3.7,50.4,2.8,14.4,0.0,1.7,7.9,10.8,0.2782,0.5678,0.1492,0.3425,0.7358,0.1362,0.3064,0.1515,0.6939,0.647,0.731,0.0,0.4706,0.6329,0.9509,5.0
36081156700,34.4,4.6,16583.0,37.1,17.4,18.7,37.7,4.2,76.6,11.4,15.7,0.0,4.6,30.1,57.7,0.9059,0.2594,0.8583,0.9544,0.6816,0.2439,0.9981,0.1871,0.8371,0.8851,0.7495,0.0,0.7698,0.9357,0.9915,5.1
36081157101,11.1,6.0,29100.0,10.4,14.0,21.1,8.9,1.0,71.7,7.6,3.2,0.0,2.6,9.1,0.1,0.4283,0.4159,0.4007,0.4839,0.4696,0.3898,0.2331,0.0289,0.8134,0.8266,0.4481,0.0,0.6082,0.6811,0.3958,9.7
